"cad_number","dup_cad_number","pd_incident_report","received_datetime","entry_datetime","dispatch_datetime","enroute_datetime","onscene_datetime","close_datetime","call_type_original","call_type_original_desc","call_type_original_notes","call_type_final","call_type_final_desc","call_type_final_notes","priority_original","priority_final","agency","disposition","onview_flag","sensitive_call","intersection_name","intersection_id","intersection_point","supervisor_district","analysis_neighborhood","police_district","data_as_of","data_updated_at","data_loaded_at","source_filename"
"250321616",,"PD250062759","2025/02/01 01:20:26 PM","2025/02/01 01:28:27 PM","2025/02/01 01:50:27 PM","2025/02/01 01:50:27 PM","2025/02/01 01:50:27 PM","2025/02/01 03:12:50 PM","488","PETTY THEFT",,"488","PETTY THEFT",,"C","C","Police","ND","N","false","ELWOOD ST \ MASON ST","24915000","POINT (-122.409775109 37.786658874)","3","Tenderloin","TENDERLOIN","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321698",,,"2025/02/01 01:50:37 PM","2025/02/01 01:50:37 PM","2025/02/01 01:50:37 PM","2025/02/01 01:50:37 PM","2025/02/01 01:50:37 PM","2025/02/01 01:50:58 PM","903","PASSING CALL",,"903","PASSING CALL",,"C","C","Police",,"Y","false","KEITH ST \ THOMAS AVE","20160000","POINT (-122.389418721 37.729353886)","10","Bayview Hunters Point","BAYVIEW","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321162",,"PD250062577","2025/02/01 11:09:32 AM","2025/02/01 11:12:22 AM","2025/02/01 01:50:39 PM","2025/02/01 01:50:39 PM","2025/02/01 02:24:58 PM","2025/02/01 03:07:16 PM","288","SEXUAL ASSAULT JUVE",,"288","SEXUAL ASSAULT JUVE",,"C","C","Police","REP","N","true",,,,,,,"2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321699",,,"2025/02/01 01:50:58 PM","2025/02/01 01:50:58 PM","2025/02/01 01:50:58 PM","2025/02/01 01:50:58 PM","2025/02/01 01:50:58 PM","2025/02/01 01:53:17 PM","903","PASSING CALL",,"903","PASSING CALL",,"C","C","Police","HAN","Y","false","KEITH ST \ THOMAS AVE","20160000","POINT (-122.389418721 37.729353886)","10","Bayview Hunters Point","BAYVIEW","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321701",,,"2025/02/01 01:47:49 PM","2025/02/01 01:51:32 PM","2025/02/01 01:52:23 PM","2025/02/01 01:52:23 PM","2025/02/01 01:56:48 PM","2025/02/01 02:00:23 PM","801","SUICIDE ATTEMPT",,"801","SUICIDE ATTEMPT",,"A","A","Police","UTL","N","true",,,,,,,"2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321703",,,"2025/02/01 01:52:41 PM","2025/02/01 01:52:41 PM","2025/02/01 01:52:41 PM","2025/02/01 01:52:41 PM","2025/02/01 01:52:41 PM","2025/02/01 04:28:25 PM","903","PASSING CALL",,"903","PASSING CALL",,"C","C","Police",,"Y","false","JUDAH ST \ LA PLAYA","27960000","POINT (-122.509141223 37.760282322)","4","Sunset/Parkside","TARAVAL","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321706",,,"2025/02/01 01:52:59 PM","2025/02/01 01:52:59 PM","2025/02/01 01:52:59 PM","2025/02/01 01:52:59 PM","2025/02/01 01:52:59 PM","2025/02/01 02:06:46 PM","585","TRAFFIC STOP",,"585","TRAFFIC STOP",,"B","B","Police","CIT","Y","false","EDNA ST \ TERESITA BLVD","33011000","POINT (-122.446536273 37.733992413)","7","West of Twin Peaks","INGLESIDE","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321670",,,"2025/02/01 01:43:09 PM","2025/02/01 01:43:09 PM","2025/02/01 01:56:16 PM","2025/02/01 01:56:16 PM",,"2025/02/01 02:11:26 PM","587","TRAF VIOLATION CITE",,"587","TRAF VIOLATION CITE","22500E","C","C","Municipal Transportation Agency","GOA","N","false","26TH AVE \ IRVING ST","27433000","POINT (-122.484626653 37.763231349)","4","Sunset/Parkside","TARAVAL","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321577",,,"2025/02/01 01:13:54 PM","2025/02/01 01:13:54 PM","2025/02/01 01:56:38 PM","2025/02/01 01:56:38 PM","2025/02/01 02:08:23 PM","2025/02/01 02:45:26 PM","588","TRAF VIOLATION TOW",,"588","TRAF VIOLATION TOW","DW","C","C","Municipal Transportation Agency","HAN","N","false","CUMBERLAND ST \ GUERRERO ST","25675000","POINT (-122.423612942 37.759164228)","9","Mission","MISSION","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321711",,,"2025/02/01 01:50:01 PM","2025/02/01 01:54:06 PM","2025/02/01 01:57:15 PM","2025/02/01 01:57:15 PM","2025/02/01 01:58:04 PM","2025/02/01 02:24:30 PM","418","FIGHT NO WEAPON","601","418","FIGHT NO WEAPON","601","B","B","Police","GOA","N","false","AL SCOMA WAY \ JEFFERSON ST","35066000","POINT (-122.417715897 37.807978727)","3","North Beach","CENTRAL","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321676",,,"2025/02/01 01:45:15 PM","2025/02/01 01:45:15 PM","2025/02/01 01:57:24 PM","2025/02/01 01:57:24 PM","2025/02/01 02:21:14 PM","2025/02/01 02:25:51 PM","588","TRAF VIOLATION TOW",,"588","TRAF VIOLATION TOW",,"C","C","Municipal Transportation Agency","CIT","N","false","MARIETTA DR \ TERESITA BLVD","22410000","POINT (-122.450784466 37.742729932)","7","West of Twin Peaks","INGLESIDE","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321715",,,"2025/02/01 01:57:30 PM","2025/02/01 01:57:30 PM","2025/02/01 01:57:30 PM","2025/02/01 01:57:30 PM","2025/02/01 01:57:30 PM","2025/02/01 02:04:42 PM","585","TRAFFIC STOP",,"585","TRAFFIC STOP",,"B","B","Police","CIT","Y","false","BADEN ST \ HEARST AVE","22132000","POINT (-122.439737346 37.730732907)","7","West of Twin Peaks","INGLESIDE","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321696",,,"2025/02/01 01:47:03 PM","2025/02/01 01:49:33 PM","2025/02/01 01:57:46 PM","2025/02/01 01:57:46 PM","2025/02/01 02:00:06 PM","2025/02/01 02:03:38 PM","601","TRESPASSER","AGGRESSIVE","601","TRESPASSER","AGGRESSIVE","B","B","Police","GOA","N","false","JACKSON ST \ TRENTON ST","25045000","POINT (-122.40907552 37.795720126)","3","Chinatown","CENTRAL","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321538",,,"2025/02/01 01:01:18 PM","2025/02/01 01:01:18 PM","2025/02/01 01:57:59 PM","2025/02/01 01:57:59 PM","2025/02/01 02:16:11 PM","2025/02/01 02:55:24 PM","588","TRAF VIOLATION TOW",,"588","TRAF VIOLATION TOW","DW","C","C","Municipal Transportation Agency","HAN","N","false","CALIFORNIA ST \ OCTAVIA ST","26529000","POINT (-122.427260407 37.78974286)","5","Pacific Heights","NORTHERN","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321418",,,"2025/02/01 12:23:10 PM","2025/02/01 12:23:54 PM","2025/02/01 01:58:01 PM","2025/02/01 01:58:01 PM","2025/02/01 02:17:08 PM","2025/02/01 02:27:31 PM","601","TRESPASSER",,"601","TRESPASSER",,"C","C","Police","GOA","N","false","07TH ST \ MINNA ST","24291000","POINT (-122.410401493 37.778785373)","6","South of Market","SOUTHERN","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321682",,,"2025/02/01 01:41:41 PM","2025/02/01 01:46:53 PM","2025/02/01 01:59:39 PM","2025/02/01 01:59:39 PM","2025/02/01 02:12:11 PM","2025/02/01 02:19:30 PM","650","THREATS / HARASSMENT",,"650","THREATS / HARASSMENT",,"B","B","Police","GOA","N","false","15TH ST \ BRYANT ST","24213000","POINT (-122.410609801 37.766903445)","9","Mission","MISSION","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321725",,,"2025/02/01 02:02:07 PM","2025/02/01 02:02:07 PM","2025/02/01 02:02:07 PM","2025/02/01 02:02:07 PM","2025/02/01 02:02:07 PM","2025/02/01 02:09:54 PM","585","TRAFFIC STOP",,"585","TRAFFIC STOP",,"B","B","Police","CIT","Y","false","FOERSTER ST \ MONTEREY BLVD","22232000","POINT (-122.448866265 37.731542959)","7","West of Twin Peaks","INGLESIDE","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321692",,,"2025/02/01 01:46:58 PM","2025/02/01 01:48:06 PM","2025/02/01 02:03:40 PM","2025/02/01 02:03:40 PM",,"2025/02/01 02:09:57 PM","588","TRAF VIOLATION TOW","DW","588","TRAF VIOLATION TOW","DW","C","C","Municipal Transportation Agency","GOA","N","false","PAGE ST \ PIERCE ST","26003000","POINT (-122.433922188 37.772620311)","5","Haight Ashbury","PARK","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321729",,,"2025/02/01 02:03:48 PM","2025/02/01 02:03:48 PM","2025/02/01 02:03:48 PM","2025/02/01 02:03:48 PM","2025/02/01 02:03:48 PM","2025/02/01 02:58:15 PM","903","PASSING CALL",,"903","PASSING CALL",,"C","C","Police",,"Y","false","COLUMBUS AVE \ POWELL ST","25424000","POINT (-122.41095374 37.800832982)","3","North Beach","CENTRAL","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321733",,,"2025/02/01 02:03:50 PM","2025/02/01 02:04:56 PM","2025/02/01 02:05:52 PM","2025/02/01 02:05:52 PM","2025/02/01 02:12:13 PM","2025/02/01 02:14:19 PM","601","TRESPASSER","909","601","TRESPASSER","909","C","C","Police","HAN","N","false","BRODERICK ST \ OAK ST","26036000","POINT (-122.4390886 37.772921982)","5","Haight Ashbury","PARK","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321727",,,"2025/02/01 02:02:26 PM","2025/02/01 02:03:27 PM","2025/02/01 02:06:29 PM","2025/02/01 02:06:29 PM","2025/02/01 02:21:33 PM","2025/02/01 03:07:38 PM","917","SUSPICIOUS PERSON",,"917","SUSPICIOUS PERSON",,"C","C","Police","ADV","N","false","02ND ST \ MARKET ST","30734000","POINT (-122.401375491 37.789264323)","6","Financial District/South Beach","SOUTHERN","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321741",,,"2025/02/01 02:05:21 PM","2025/02/01 02:07:23 PM","2025/02/01 02:09:28 PM","2025/02/01 02:09:28 PM","2025/02/01 02:13:29 PM","2025/02/01 02:52:12 PM","418DV","FIGHT NO WEAPON DV",,"418DV","FIGHT NO WEAPON DV",,"B","A","Police","ND","N","true",,,,,,,"2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321747",,,"2025/02/01 02:10:08 PM","2025/02/01 02:10:08 PM","2025/02/01 02:10:08 PM","2025/02/01 02:10:08 PM","2025/02/01 02:10:08 PM","2025/02/01 02:25:25 PM","903","PASSING CALL",,"903","PASSING CALL",,"C","C","Police","HAN","Y","false","25TH AVE \ NORIEGA ST","27384000","POINT (-122.482899356 37.753957235)","4","Sunset/Parkside","TARAVAL","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321739",,,"2025/02/01 02:04:47 PM","2025/02/01 02:06:57 PM","2025/02/01 02:11:00 PM","2025/02/01 02:11:00 PM","2025/02/01 02:11:35 PM","2025/02/01 02:15:26 PM","601","TRESPASSER",,"601","TRESPASSER",,"C","C","Police","ADV","N","false","06TH ST \ GOLDEN GATE AVE \ MARKET ST \ TAYLOR ST","24922000","POINT (-122.410292027 37.782230575)","6","South of Market","SOUTHERN","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321716",,,"2025/02/01 01:57:50 PM","2025/02/01 01:57:50 PM","2025/02/01 02:11:24 PM","2025/02/01 02:11:24 PM",,"2025/02/01 02:15:35 PM","588","TRAF VIOLATION TOW",,"588","TRAF VIOLATION TOW","DW","C","C","Municipal Transportation Agency","GOA","N","false","FELL ST \ WEBSTER ST","25950000","POINT (-122.42936586 37.77511118)","5","Hayes Valley","NORTHERN","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321708",,,"2025/02/01 01:52:48 PM","2025/02/01 01:53:19 PM","2025/02/01 02:11:31 PM","2025/02/01 02:11:31 PM","2025/02/01 02:23:13 PM","2025/02/01 02:23:56 PM","587","TRAF VIOLATION CITE","22500E","587","TRAF VIOLATION CITE","22500E","C","C","Municipal Transportation Agency","CIT","N","false","20TH AVE \ ULLOA ST","23171000","POINT (-122.476630049 37.741138227)","4","Sunset/Parkside","TARAVAL","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321752",,,"2025/02/01 02:12:09 PM","2025/02/01 02:12:09 PM","2025/02/01 02:12:09 PM","2025/02/01 02:12:09 PM","2025/02/01 02:12:09 PM","2025/02/01 02:18:12 PM","585","TRAFFIC STOP",,"585","TRAFFIC STOP",,"B","B","Police","CIT","Y","false","BADEN ST \ MONTEREY BLVD","22134000","POINT (-122.439742767 37.731584226)","7","West of Twin Peaks","INGLESIDE","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321758",,,"2025/02/01 02:14:13 PM","2025/02/01 02:14:13 PM","2025/02/01 02:14:13 PM","2025/02/01 02:14:13 PM","2025/02/01 02:14:13 PM","2025/02/01 03:19:07 PM","903","PASSING CALL",,"903","PASSING CALL",,"C","C","Police","HAN","Y","false","POLK ST \ WILLOW ST","25177000","POINT (-122.419273433 37.783567786)","5","Tenderloin","NORTHERN","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321469",,,"2025/02/01 12:38:17 PM","2025/02/01 12:38:17 PM","2025/02/01 02:14:35 PM","2025/02/01 02:14:35 PM",,"2025/02/01 02:28:23 PM","587","TRAF VIOLATION CITE",,"587","TRAF VIOLATION CITE","22500H","C","C","Municipal Transportation Agency","GOA","N","false","15TH ST \ SANCHEZ ST","25975000","POINT (-122.431037779 37.76599633)","8","Castro/Upper Market","MISSION","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321763",,,"2025/02/01 02:15:45 PM","2025/02/01 02:15:45 PM","2025/02/01 02:15:45 PM","2025/02/01 02:15:45 PM","2025/02/01 02:15:45 PM","2025/02/01 02:23:01 PM","903","PASSING CALL",,"903","PASSING CALL",,"C","C","Police","HAN","Y","false","09TH TI ST \ AVENUE B","34070000","POINT (-122.374906701 37.823174923)","6","Treasure Island","SOUTHERN","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321735",,,"2025/02/01 02:01:31 PM","2025/02/01 02:05:38 PM","2025/02/01 02:19:37 PM","2025/02/01 02:19:37 PM","2025/02/01 02:26:26 PM","2025/02/01 02:30:23 PM","418","FIGHT NO WEAPON",,"418","FIGHT NO WEAPON",,"B","B","Police","HAN","N","false","ERIE ST \ MISSION ST","24383000","POINT (-122.420032091 37.769045446)","9","Mission","MISSION","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321754",,,"2025/02/01 02:10:58 PM","2025/02/01 02:12:28 PM","2025/02/01 02:23:02 PM","2025/02/01 02:23:02 PM","2025/02/01 02:28:55 PM","2025/02/01 02:34:11 PM","418","FIGHT NO WEAPON","601","418","FIGHT NO WEAPON","601","B","B","Police","HAN","N","false","BIRCH ST \ LAGUNA ST","25937000","POINT (-122.426547686 37.777862448)","5","Hayes Valley","NORTHERN","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321783",,,"2025/02/01 02:23:10 PM","2025/02/01 02:23:10 PM","2025/02/01 02:23:10 PM","2025/02/01 02:23:10 PM","2025/02/01 02:23:10 PM","2025/02/01 02:30:52 PM","585","TRAFFIC STOP",,"585","TRAFFIC STOP",,"B","B","Police","CIT","Y","false","BADEN ST \ SAN JOSE AVE","33377000","POINT (-122.438983195 37.729588971)","11","Outer Mission","INGLESIDE","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321785",,,"2025/02/01 02:23:10 PM","2025/02/01 02:23:10 PM","2025/02/01 02:23:10 PM","2025/02/01 02:23:10 PM","2025/02/01 02:23:10 PM","2025/02/01 02:26:23 PM","903","PASSING CALL",,"903","PASSING CALL",,"C","C","Police","HAN","Y","false","Not Available",,,,,"SOUTHERN","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321778",,"PD250062618","2025/02/01 02:20:12 PM","2025/02/01 02:21:27 PM","2025/02/01 02:24:13 PM","2025/02/01 02:24:13 PM","2025/02/01 02:33:56 PM","2025/02/01 03:17:58 PM","488","PETTY THEFT",,"594","VANDALISM",,"B","A","Police","REP","N","false","CALIFORNIA ST \ SPRUCE ST","26943000","POINT (-122.453406647 37.786417731)","2","Presidio Heights","RICHMOND","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321788",,,"2025/02/01 02:24:26 PM","2025/02/01 02:24:26 PM","2025/02/01 02:24:26 PM","2025/02/01 02:24:26 PM","2025/02/01 02:24:26 PM","2025/02/01 02:24:54 PM","000","MISC",,"000","MISC",,"C","C","Police","HAN","Y","false","SUTTER ST \ TAYLOR ST","24958000","POINT (-122.411885658 37.788807544)","3","Nob Hill","CENTRAL","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321638",,,"2025/02/01 01:32:42 PM","2025/02/01 01:32:42 PM","2025/02/01 02:25:01 PM","2025/02/01 02:25:01 PM",,"2025/02/01 02:51:08 PM","587","TRAF VIOLATION CITE",,"587","TRAF VIOLATION CITE","DW","C","C","Municipal Transportation Agency","GOA","N","false","37TH AVE \ BALBOA ST","27883000","POINT (-122.497318728 37.775715414)","1","Outer Richmond","RICHMOND","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321687",,,"2025/02/01 01:47:21 PM","2025/02/01 01:47:21 PM","2025/02/01 02:26:46 PM","2025/02/01 02:26:46 PM","2025/02/01 02:41:20 PM","2025/02/01 02:49:49 PM","588","TRAF VIOLATION TOW",,"588","TRAF VIOLATION TOW","DW","C","C","Municipal Transportation Agency","CIT","N","false","CAYUGA AVE \ SANTA ROSA AVE","21801000","POINT (-122.436805493 37.72716839)","11","Outer Mission","INGLESIDE","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
